ITEM_FLAVOUR_TRINKET:ALEXANDERS_FATE,"Some will say it's a pragmatic choice, others might call it cowardly.","Certains diront qu’il s’agit d’un choix pragmatique, les autres prendront cela pour de la lâcheté.","Manche würden das als pragmatische Lösung bezeichnen, andere als Feigheit.","Alcuni dicono sia una scelta pragmatica, altri la chiameranno codardia.","Algunos dirán que es una elección pragmática, otros podrían considerarla cobarde.","Algunos dirán que es una decisión pragmática, otros la llamarán cobardía.","Alguns dirão que essa é uma escolha pragmática, outros podem chamá-la de covarde.","Niektórzy powiedzą, że to pragmatyczny wybór, inni nazwą to tchórzostwem.","Одни назовут это прагматичностью, другие — трусостью.",某些人會認為這是一種務實的選擇，但其他人可能會稱之為懦弱。,有人认为这叫务实，也有人认为这叫懦弱。,누군가는 실용적인 선택이라고 하고 누군가는 비겁한 행동이라고 하죠.,ある者はそれを賢明な選択だと捉え、またある者はそれを臆病だと見なすかもしれない。,"Хтось вважає це прагматизмом, хтось боягузтвом.","Bazıları bunun pragmatik bir tercih, diğerleri ise korkaklık olduğunu düşünebilir."
ITEM_FLAVOUR_TRINKET:EMBEDDING_BLADE,"As I understand it, this is a holy instrument. That by which a Traveller is granted elevation, a process akin to becoming a god in the Vessel. So tell me: why is it shaped like a sword?","Tel que je le vois, il s'agit d'un instrument sacré. Celui par lequel un Voyageur obtient l'élévation, à savoir un processus qui fait de lui un dieu au sein de l'Arche. Alors dis-moi : pourquoi prend-il la forme d'une épée ?","So wie ich das verstehe, handelt es sich hierbei um ein heiliges Werkzeug. Es hilft den Reisenden dabei, aufzusteigen, was der Gottwerdung im Schiff gleicht. Warum bitte sieht es dann aus wie ein Schwert?","Se ho ben capito, si tratta di uno strumento sacro, grazie al quale un Pellegrino ha la possibilità di innalzarsi, in un processo simile al divenire una divinità nel Vascello. Dunque, dimmi: perché ha la forma di una spada?","Según tengo entendido, este es un instrumento sagrado. Aquello mediante el cual un Viajero alcanza la elevación, un proceso similar a convertirse en un dios en la Nave. Dime, ¿por qué tiene forma de espada?","Según tengo entendido, se trata de un instrumento sagrado. Aquello que permite a un Viajante ascender, un proceso similar a convertirse en un dios en el Navío. Entonces, dime: ¿por qué tiene forma de espada?","Pelo que entendi, este é um instrumento sagrado. Aquele pelo qual um Viajante recebe elevação, um processo semelhante a se tornar um deus na Nau. Então me diga: por que tem o formato de uma espada?","Jeśli dobrze rozumiem, jest to święty przyrząd. Dzięki niemu Podróżny otrzymywał wyniesienie. Był to proces podobny do stania się bogiem na Statku. Więc powiedz mi: czemu ma kształt miecza?","Как я понимаю, это священный инструмент. Тот, что дарует Страннику возвышение, делая его одним из божеств Судна. Тогда скажи мне: почему же он выглядит как меч?",據我所知，這是件神聖的器物。旅者可藉此昇華，整個過程猶如成為船艦的神。那請告訴我：它的造型為什麼像把劍？,据我所知，这是一件神圣的器物。象征着「远行者」获得飞升，类似于在「皿躯舰」中成为神。那么问题来了，它的形状为什么像一把剑？,이건 신성한 도구라고 생각합니다. 여행자에게 본선에서 신이 되는 과정과 같은 승격을 선사하는 도구. 그런데 모양은 왜 검처럼 생긴 걸까요?,きっとこれは神聖な道具にちがいない。トラベラーはこれを使って昇華するのだ。ヴェッセルの中で神となる過程と同じような効果があるはずだ。だが一つわからないことがある。なぜ剣の形をしているのだ？,"Наскільки я розумію, це священний інструмент. Той, завдяки якому Мандрівнику дарується піднесення — це наче стати богом у Ковчезі. Тож скажи мені: чому він має форму меча?","Anladığım kadarıyla bu kutsal bir alet. Bunun sayesinde Seyyah daha yüksek bir mevkiye ulaşır. Bu süreç, Aracı'da bir tanrı olmaya benzer. O zaman söyle bana, bu neden bir kılıç şeklinde?"
ITEM_FLAVOUR_TRINKET:ENERGY_EMPTY_ATTACK,"The Travellers were acoustic, while we are electric. If we can learn a lesson or two from them, then we can survive even the death of the Heart!","Les Voyageurs étaient acoustiques tandis que nous sommes électriques. Si nous pouvions apprendre une ou deux choses d’eux, nous pourrions même survivre à l’arrêt du Cœur !","Die Reisenden waren akustisch, während wir elektrisch sind. Wenn wir etwas von ihnen lernen können, dann können wir sogar den Tod des Herzens überleben!","I Pellegrini emettevano suono, mentre noi siamo elettrici. Se possiamo imparare qualche lezione da loro, allora possiamo sopravvivere anche alla morte del Cuore!","Los Viajeros eran acústicos, mientras que nosotros somos eléctricos. Si podemos aprender una lección o dos de ellos, ¡podremos sobrevivir incluso a la muerte del Corazón!","Los Viajantes eran acústicos, mientras que nosotros somos eléctricos. Si podemos aprender una o dos cosas de ellos, ¡podremos sobrevivir incluso a la muerte del Corazón!","Os Viajantes eram acústicos, enquanto nós somos elétricos. Se pudermos aprender uma coisinha ou outra com eles, poderemos sobreviver até mesmo à morte do Coração!","Podróżni byli akustyczni, a my jesteśmy elektryczni. Jeśli nauczymy się od nich jednej lub dwóch lekcji, możemy przetrwać nawet śmierć Serca!","Странники не полагались на электрическую энергию так, как мы. Нам есть чему у них поучиться. Если нам удастся перенять их опыт и знания, быть может мы сможем пережить и смерть Сердца!",旅者是聲音式的存在，而我們是電子式的存在。如果我們能從旅者身上學到一些教訓，那麼即使在心臟死亡後我們也能生存下來！,「远行者」依靠声学沟通，而我们是由电力驱动的。我们如果能从他们身上汲取一点教训，也许就可以在「心」死亡之后活下来！,여행자는 전자장치로 이루어지지 않았지만 우리는 전자장치 그 자체입니다. 그들에게서 몇 가지를 배워낸다면 심장이 죽어도 살아남을 수 있을 겁니다!,トラベラーズはアコースティックだったが、私たちはエレクトリックだ。彼らから教訓を得ることができれば、ハートの死をも乗り越えられる！,"Мандрівники керувалися звуком, а ми — електрикою. Якщо ми навчимося чомусь у них, то зможемо пережити навіть смерть Серця!",Seyyahlar bizim gibi elektrikle çalışmıyordu. Onlardan öğrenmemiz gereken tek bir şey varsa o da Kalp öldükten sonra bile yaşayabileceğimizdir!
ITEM_FLAVOUR_TRINKET:FAST_RECOVERY,Excessive latency is the number one cause of death for crisis-management units!,Un temps de latence excessif est la cause de mortalité numéro UNE chez les unités de gestion de crise !,Überhöhte Latenz ist die häufigste Todesursache von Krisenbekämpfungseinheiten!,La latenza eccessiva è la causa numero uno di morte per le unità di gestione crisi!,¡La latencia excesiva es la principal causa de muerte en las unidades de gestión de crisis!,¡La latencia excesiva es la causa número uno de muerte en las unidades de gestión de crisis!,Latência excessiva é a causa número um de morte das unidades de gerenciamento de crises!,Nadmierne opóźnienia są najczęstszą przyczyną zgonów jednostek zarządzania kryzysowego!,Чрезмерная задержка считается главное причиной смерти среди юнитов экстренного реагирования!,延遲過高是危機管理裝置的頭號死因！,延迟过高是危机管理个体死亡的头号原因！,과도한 지연은 위기관리 유닛의 최대 사망 원인입니다!,危機管理ユニットの死亡原因の第1位は、取り返しのつかない遅延なのだ！,Висока затримка — головна причина смертності серед юнітів із кризового менеджменту.,Kriz yönetimi birimleri arasında en büyük ölüm sebebi aşırı gecikmedir!
ITEM_FLAVOUR_TRINKET:FOUNTAIN_OVERLOAD,The Wearer of this voucher has been recognised as a high-risk worker and is therefore authorised to use the advanced functions of the Nacre Basins.,L’unité en possession de ce bon est reconnue comme travailleuse à risque. Elle est par conséquent autorisée à accéder aux fonctions avancées des fontaines de nacre.,"Der Träger dieses Gutscheins wurde als Risikoarbeiter anerkannt und ist daher berechtigt, die erweiterten Funktionen der Perlmutt-Becken zu nutzen.",Il portatore di questo buono è stato riconosciuto come lavoratore ad alto rischio ed è quindi autorizzato ad usare le funzioni avanzate delle vasche di madreperla.,"El portador de este bono ha sido reconocido como trabajador de alto riesgo y, por lo tanto, está autorizado a utilizar las funciones avanzadas de las Cuencas de Nácar.","La unidad portadora de este vale ha sido identificada como personal de alto riesgo. Por lo tanto, está autorizada a utilizar las funciones avanzadas de las bandejas de nácar.","O portador deste vale é reconhecido como um trabalhador de alto risco e, portanto, está autorizado a usar as funções avançadas das Bacias de Madrepérola.",Osoba z tym kwitem została uznana za pracownika wysokiego ryzyka i w związku z tym jest upoważniona do korzystania z zaawansowanych funkcji Zbiorników Masy Perłowej.,Обладатель данного ордера является работником в зоне повышенного риска и уполномочен использовать продвинутые функции чаш перламутра.,此憑證的持有者被視為是高風險工作者，因此獲准使用珍珠母池的進階功能。,携带此凭证的个体已被认定为高危工作人员，可使用「母贝容器」的高级功能。,"상품권 소지자는 고위험 작업자로 인정되므로, 자개 보관소에서 고급 기능을 사용할 권한이 부여됩니다.",このバウチャーの所持者は高リスク労働者として認められており、ナクレの盆の高度な機能を使用する権限を所有している。,"Власник цього ваучера працює в умовах підвищеного ризику, тож має право на покращені функції басейнів перламутру.",Bu belgeyi kullanan kişinin yüksek riskli işlerde çalıştığı tespit edilmiş ve Sedef Rezervlerinin gelişmiş özelliklerini kullanmasına izin verilmiştir.
ITEM_FLAVOUR_TRINKET:GLASS_CANNON,"""Exposed"" and ""Free"" are two sides of the same coin.",« Exposée » et « Libre » sont les deux faces d’une même pièce.,„Ungeschützt“ und „frei“ sind zwei Seiten derselben Medaille.,"Esposto e ""libero"" sono due facce della stessa moneta.","Expuesto y ""Libre"" son dos caras de la misma moneda.","Expuesta y ""Libre"" son dos caras de la misma moneda.","Exposta e ""Livre"" são dois lados da mesma moeda.",„Narażona” i „wolna” to dwie strony tej samej monety.,Уязвимость и свобода — это две стороны одной медали.,「遇險」與「自由」是一體兩面的事。,「暴露」和「自由」是同一枚硬币的两面。,노출과 '자유'는 동전의 양면입니다.,「無防備」と「自由」は表裏一体だ。,«Відкрите» і «Вільне» — дві сторони однієї монети.,"Savunmasız ve ""özgür"" kelimeleri aynı madalyonun iki yüzü gibidir."
ITEM_FLAVOUR_TRINKET:GLIDE_BERSERKER,"The sun was their biggest ally, masking their deadly descent onto their prey. A good thing that there aren't any aboard the Vessel, considering the number of suns we have hanging here.","Le soleil était leur meilleur allié, il les camouflait lorsqu’ils se jetaient sur leur proie. Heureusement qu’il n’y en a pas dans l’Arche, vu le nombre de soleils qu’on a ici.","Die Sonne war ihr größter Verbündeter, da sie den tödlichen Sturzflug auf ihre Beute verdeckte. Gut, dass es an Bord des Schiffes keine gibt, wenn man bedenkt, wie viele Sonnen wir hier haben.","Il sole era il loro più grande alleato, poiché nascondeva la loro discesa mortale sulla preda. Un bene che non ce ne siano nel Vascello, considerando il numero di soli che ci sono.","El sol era su mayor aliado, pues enmascaraba su mortal descenso hacia sus presas. Menos mal que no hay ninguno a bordo de la Nave, considerando la cantidad de soles que tenemos aquí.","El sol era su mayor aliado, ya que enmascaraba el mortal descenso sobre su presa. Menos mal que no hay ninguna a bordo del Navío, teniendo en cuenta la cantidad de soles que hay colgando por aquí.","O sol era seu maior aliado, mascarando sua descida mortal sobre a presa. Ainda bem que não tem nenhuma a bordo da Nau, considerando o número de sóis que temos aqui.","Słońce było ich największym sojusznikiem, maskującym ich śmiercionośny napad na ofiarę. Dobrze, że nie ma ich na pokładzie Statku, biorąc pod uwagę liczbę słońc, które tu mamy.","Их главным союзником было солнце, которое скрывало их приближение от глаз незадачливой жертвы. Хорошо, что у нас на борту их нет — учитывая сколько у нас тут солнц.",太陽是最強大的盟友，掩護牠們直撲獵物，展開致命突襲。船艦上沒有這些猛禽真是太幸運了，畢竟我們這裡有無數顆太陽高掛空中。,太阳是它们的得力盟友，它们对猎物发起致命攻击时，太阳可以掩护它们。还好「皿躯舰」上没有真正的猛禽，毕竟这里有这么多太阳。,태양은 그들의 가장 든든한 아군이었습니다. 먹잇감을 향해 하강할 때 볼 수 없게 가려주었으니까요. 이곳의 태양 수를 생각하면 본선에는 놈들이 타지 않아서 정말 다행입니다.,太陽は彼らにとって最大の味方であり、獲物に向かって降下する姿を覆い隠してくれる存在だった。ここにある太陽の数を考えると、ヴェッセル内に誰もいないのは幸運なことである。,"Сонце було їхнім головним союзником, маскуючи смертоносне пікірування на здобич. Добре, що на борту Ковчега вони відсутні, враховуючи кількість сонць, які тут висять.","Güneş en büyük müttefikleriydi, ölümcül bir inişle avlarına yaklaşırken onları maskeliyordu. Aracı'daki güneş miktarını düşünürsek gemide bu türden bulunmuyor olması iyi bir şey."
ITEM_FLAVOUR_TRINKET:GLIDE_STATIC,"Some Travellers believed that, when night came, the Firefly units would fly up to the sky to recharge the suns and bring back the dawn.","Certains Voyageurs pensaient que, une fois la nuit venue, les unités de type Luciole prenaient leur envol pour aller recharger les soleils et faire revenir l’aube.","Einige Reisende glaubten, dass nach Einbruch der Nacht Glühwürmchen-Einheiten in den Himmel fliegen würden, um die Sonnen aufzuladen und die Dämmerung zurückzuholen.","Alcuni Pellegrini credevano che quando calava la notte, le unità Libellula volassero nel cielo per ricaricare i soli e riportare l'alba.","Algunos Viajeros creían que, cuando llegaba la noche, las unidades Luciérnaga volarían al cielo para recargar los soles y traer de vuelta el amanecer.","Algunos Viajantes creían que, cuando llegaba la noche, las unidades Luciérnagas volaban hacia el cielo para recargar los soles y traer de vuelta el amanecer.","Alguns Viajantes acreditavam que, quando a noite chegava, as unidades Vaga-lume voavam para o céu para recarregar os sóis e trazer de volta o amanhecer.","Niektórzy Podróżni wierzyli, że gdy zapadała noc, jednostki typu Świetlik wzbijały się w niebo, aby naładować słońca i przywrócić świt.","Некоторые Странники верили, что, когда спускается ночь, юниты-светлячки устремляются в небо, чтобы перезарядить светила и приблизить рассвет.",某些旅者相信當夜晚來臨時，螢火蟲裝置會飛上天為太陽補充能量並使光明恢復。,有一些「远行者」相信，夜幕降临时，萤火虫会飞向天空，为太阳补充光亮，然后为世界带来黎明。,밤이 오면 반딧불이 유닛이 하늘로 날아올라 태양을 충전하여 새벽이 다시 찾아오는 것이라는 얘기를 믿는 여행자도 있습니다.,一部のトラベラーたちは、夜が来るとホタルのユニットが空に飛び上がって太陽を充電し、それが夜明けをもたらすと信じていた。,"Деякі Мандрівники вважали, що вночі юніти-світлячки злітали до неба, щоб перезарядити сонця для нового світанку.","Bazı Seyyahlar, Ateş Böceği birimlerinin geceleri gökyüzüne uçarak güneşleri şarj ettiklerine ve gündüzü getirdiklerine inanırlardı."
ITEM_FLAVOUR_TRINKET:GOO_REVENGE,Explosions have been reported all over the Vessel. Maybe we've gone a little overboard with this Modifier...,Plusieurs explosions ont été signalées un peu partout dans l'Arche. On s’est peut-être un peu trop emballés avec ce modificateur-là…,Überall auf dem Schiff wurden Explosionen gemeldet. Vielleicht haben wir mit diesem Mod ein kleines bisschen übertrieben …,Sono state segnalate esplosioni da ogni parte del Vascello. Forse abbiamo un po' esagerato con questo modificatore...,Se han reportado explosiones por toda la Nave. Quizás nos hayamos excedido un poco con este modificador...,Se han registrado explosiones por todo el Navío. Quizá nos excedimos un poco con esta modificación...,Explosões foram registradas em toda a Nau. Talvez tenhamos exagerado um pouco com esse Modificador...,Na całym Statku zaczęto odnotowywać wybuchy. Może trochę przesadziliśmy z tym modyfikatorem...,"Поступают сообщения о взрывах по всему Судну. Возможно, мы немного перестарались с этим модификатором...",船艦上到處都傳來爆炸警報。我們這個調整裝置好像有點太誇張了……,有报告说，「皿躯舰」各处都发生了爆炸。也许我们搞的这个调整元件有点过火……,본선 전체에서 폭발이 일어났다는 보고가 있습니다. 변형 요소 사용이 좀 지나쳤던 것 같습니다...,ヴェッセル内のいたる所で爆発が報告されている。今回のモッドは少しやり過ぎてしまったかもしれない…,По всьому Ковчегу зафіксовано вибухи. Можливо ми трохи переборщили з цим модифікатором...,Aracı'nın her tarafından patlamalar bildiriliyor. Belki de bu modifikasyonda işi çok abarttım...
ITEM_FLAVOUR_TRINKET:HEAL_GROUND,Don't tell anyone. I have a reputation to uphold.,Ne le répète à personne. J’ai une réputation à tenir.,Verrate es niemandem. Ich habe einen Ruf zu wahren.,Non dirlo a nessuno. Ho una reputazione da mantenere.,No se lo digas a nadie. Tengo una reputación que mantener.,No se lo digas a nadie. Tengo una reputación que mantener.,Não conta pra ninguém. Eu tenho uma reputação a zelar.,Nie mów o tym nikomu. Mam reputację do utrzymania.,Никому ни слова об этом. На кону моя репутация.,這件事有損我的形象，千萬別說出去。,不要告诉别人，我要维护自己的名誉。,아무에게도 말하면 안 돼. 나에게도 평판이란 게 있으니까.,みんなには内緒だよ。評判を守らないといけないからね。,Не кажи нікому. Мені треба підтримувати репутацію.,Kimseye söyleme. Korumam gereken bir itibarım var.
ITEM_FLAVOUR_TRINKET:HEAVY_ATTACK,Just push your problems away.,Repousse tes problèmes.,Stoße deine Probleme einfach von dir ab.,Ti basta spingere via i tuoi problemi.,Simplemente aleja tus problemas.,Aleja tus problemas a golpes.,Empurre seus problemas para longe.,Po prostu odepchnij od siebie swoje problemy.,Проблемы? Пусть катятся куда подальше.,只需要把你的問題推開就可以了。,推开问题，了却烦恼。,골칫거리는 그냥 밀어버리면 됩니다.,問題があるなら、先送りにすればいいだけ。,Просто відкинь проблеми подалі.,Bazen sorunları bir kenara itmek de çözüm olabilir.
ITEM_FLAVOUR_TRINKET:HOOK_BERSERKER,"They were monsters lurking in the shadows, with eyes glowing in the dark. When they lept, it was already too late for you. No wonder they tamed our ancestors...","Ces monstres rôdaient dans l’obscurité, leurs yeux incandescents. Quand ils se montraient, il était déjà trop tard. Pas étonnant qu’ils aient dominé nos ancêtres…","Sie waren Monster, die im Schatten mit leuchtenden Augen lauerten. Wenn sie lossprangen, war es bereits zu spät für dich. Kein Wunder, dass unsere Vorfahren von ihnen gezähmt wurden …","Erano mostri appostati nell'oscurità, i loro occhi brillavano nel buio. Quando balzavano, era già troppo tardi per te. Non c'è da stupirsi se hanno ammaestrato i nostri antenati...","Eran monstruos que acechaban en las sombras, con ojos que brillaban en la oscuridad. Cuando atacaron, ya era demasiado tarde para ti. No es de extrañar que domesticaran a nuestros antepasados...","Eran monstruos que acechaban en las sombras, con ojos que brillaban en la oscuridad. Cuando saltaban, ya era demasiado tarde. No me sorprende que hayan domado a nuestros antepasados...","Eles eram monstros à espreita nas sombras, com olhos que brilhavam no escuro. Quando eles saltavam, já era tarde demais para reagir. Não é de se admirar que eles tenham domesticado nossos ancestrais...","Były potworami czającymi się w cieniu, z oczami świecącymi w ciemności. Kiedy wyskakiwały na ciebie, było już za późno. Nic dziwnego, że oswoiły naszych przodków...","То были чудовища, таившиеся в тени. Их глаза сверкали, пронзая своим светом непроглядную тьму. Один прыжок — и тебе конец. Не мудрено, что они сумели покорить и даже приручить наших предков…",牠們是潛伏在陰影中的怪物，雙眼在黑暗中閃閃發光。當牠們發動攻擊時，你已經無路可逃。難怪牠們能馴服我們的祖先……,它们是潜伏在阴影中的怪物，眼睛在黑暗中幽幽发光。它们突然发起袭击时，想要应对已经太迟了。难怪它们驯服了我们的先祖……,"놈들은 어둠 속에서 눈을 반짝이며 도사리던 괴물이었다. 놈들이 뛰어오르면, 이미 너무 늦은 거야. 그들이 우리 조상들을 부린 것도 당연해...",彼らは影に潜むモンスター。暗闇の中で目が光っていた。彼らが飛びかかってきたときには、すでに手遅れであった。我々の祖先が彼らに服従したのも無理はない…,"То були монстри, що ховалися серед тіней, із очима, що світилися в темряві. Якщо вони стрибнули, це означало, що рятуватися вже пізно. Не дивно, що вони приручили наших предків…","Gölgelerde gezinen, gözleri karanlıkta parlayan canavarlardı. Zıpladıklarında artık her şey için çok geç olurdu. Atalarımızı ehlîleştirmelerine şaşmamak gerek."
ITEM_FLAVOUR_TRINKET:HOOK_SLASH,"Weave, thread, and cut.","Tisse, file, coupe.","Weben, einfädeln und schneiden.","Intreccia, cuci e taglia.","Tejer, enhebrar y cortar.","Teje, hila y corta.","Teça, costure e corte.","Tkanie, nawlekanie i nacinanie.","Разделяй, сплетай — и режь.",編織、穿線再切割。,编织，穿线，裁剪。挥舞，捅刺，切削。,"엮고, 꿰고, 자르기.",編んで、縫って、裁断！,Скрутити й різати.,"İnce ele, sık doku ve kes."
ITEM_FLAVOUR_TRINKET:HUD,How could one even exist without being able to monitor their own condition? It would be like being a stranger to oneself.,Comment pourrait-on vivre sans pouvoir monitorer son propre état ? Ce serait comme être étranger à soi-même.,"Wie konnte man bloß existieren, ohne den eigenen Zustand ständig zu überwachen? Das ist ja so, als wäre man sich selbst fremd.",Come può qualcuno esistere senza essere in grado di controllare la propria condizione? Sarebbe come essere uno sconosciuto a se stessi.,¿Cómo podría uno siquiera existir sin poder monitorear su propia condición? Sería como ser un extraño para ti mismo.,"Sin la capacidad de examinar nuestra propia realidad, no podríamos existir. Seríamos extraños para nosotros mismos.",Como alguém poderia existir sem ser capaz de monitorar sua própria condição? Seria como ser um estranho para si mesmo.,"Jak można w ogóle istnieć, nie będąc w stanie monitorować swojego stanu? To jakby być kimś obcym dla samego siebie.","Как вообще можно существовать, не имея возможности следить за своим состоянием? Это как быть чужаком самому себе.",連自己的狀態都無法掌握，又怎麼算是真正存在？那就像對自己也一無所知。,一个人如果不能监控自己的状况，怎么可能算是存在呢？自己不了解自己，就像陌生人一样。,자기 상태도 확인하지 못한다면 어떻게 존재한다고 할 수 있을까요? 그건 스스로에게 있어 남이 되는 거나 마찬가지인걸요.,自分の状態を把握しないまま生きるなんて、自分自身が他人であるようなものだ。,Як взагалі хтось може існувати без можливості слідкувати за власним станом? Це як бути самому собі незнайомцем.,Birisi kendi hâlinden haberdar olmadan nasıl yaşayabilir ki? Kendine yabancı olmak gibidir kesin.
ITEM_FLAVOUR_TRINKET:KINETIC_CONVERSION,You see a drawback. I see an opportunity.,"Là où tu vois un désavantage, moi, je vois une possibilité.",Du siehst einen Nachteil. Ich sehe eine Gelegenheit.,Tu vedi uno svantaggio. Io vedo un'opportunità.,"Tú ves un inconveniente, yo veo una oportunidad.",Tú ves una desventaja. Yo veo una oportunidad.,"Você vê uma desvantagem, eu vejo uma oportunidade.",Ty widzisz wadę. A ja okazję.,"Там, где одни видят изъян, я вижу возможность.",你看到的是缺點，而我看到的是機會。,彼之砒霜，吾之蜜糖。,문제점으로 볼 수도 있지만 저에겐 기회로 보입니다.,逆境を絶望と見る者もいるが、私はそれをチャンスと捉える。,"Коли життя дає тобі лимони, зроби з них лимонад.",Senin engel gördüğün yerde ben fırsat görüyorum.
ITEM_FLAVOUR_TRINKET:KURO_CHARM,"The more you know, the harder it becomes to escape the truth.","Plus tu en sauras, plus tu auras de mal à fuir la vérité.","Je mehr du weißt, desto schwieriger wird es, der Wahrheit zu entfliehen.","Più conosci, più è difficile fuggire dalla verità.","Cuanto más sabes, menos fácil te resulta escapar de la verdad.","Cuanto más descubres, más difícil resulta escapar de la verdad.","Quanto mais se aprende, mais difícil fica escapar da verdade.","Im więcej wiesz, tym trudniej uciec od prawdy.","Чем больше знаешь, тем сложнее спрятаться от истины.",你知道的越多，就越難逃離真相。,知道的越多，逃避真相就越难。,더 많이 알수록 진실을 회피하기도 어려워집니다.,知識が増えるほど、真実から逃れるのは難しくなる。,"Що більше ти знаєш, то складніше уникнути правди.",Ne kadar çok şey bilirsen gerçeklerden kaçmak o kadar zor olur.
ITEM_FLAVOUR_TRINKET:LAST_CHANCE,"For something made on the spot, it's surprisingly handy.","Pour un truc fabriqué à la va-vite, c’est étonnamment utile.","Für etwas, das so spontan hergestellt wurde, ist es überraschend praktisch.","Per essere qualcosa di improvvisato, è veramente utile.","Para ser algo hecho en el momento, es sorprendentemente práctico.",Es bastante útil para ser algo improvisado.,"Pra algo feito de improviso, até que ele é surpreendentemente útil.","Jak na coś robionego na szybko, jest to zaskakująco przydatna rzecz.","Удивительно полезная вещь, особенно если учесть, в каких условиях она изготовлена.",以臨時拼湊出來的東西而言，它出奇地實用。,虽然只是随手制作的临时用品，不过还挺实用的。,즉석에서 만들어진 것치고는 놀라울 정도로 유용합니다.,即席で作られたものにしては、驚くほど役に立つ。,"Напрочуд зручно, як для чогось, зробленого нашвидкуруч.",Hızlıca üretilen bir şey için oldukça kullanışlı.
ITEM_FLAVOUR_TRINKET:LESS_SCRAPS,"I may be poor in material goods, but I am rich in mind and skill.","Oui, je possède peu de biens matériaux ; mais je sais utiliser mon cerveau et mes mains comme personne.","Ich mag arm an materiellen Gütern sein, aber ich bin reich an Gedanken und Fähigkeiten.","Potrei non avere molti beni materiali, ma sono ricco di pensieri e abilità.","Puedo ser pobre en bienes materiales, pero soy rico en mente y habilidades.","Quizá tenga pocos bienes materiales, pero tengo gran riqueza de mente y destreza.","Posso ser pobre em bens materiais, mas tenho uma fortuna em inteligência e habilidade.","Mogę być ubogi pod kątem dóbr materialnych, ale bogaty w zakresie ducha i umiejętności.",Нехватку хороших материалов я компенсирую мастерством и смекалкой.,雖然我在物質上有點貧乏，但在思想與技藝方面卻是無比充實。,我虽然缺少材料，但有很多智慧和技艺。,전 재화는 부족할지 몰라도 마음과 실력은 넉넉합니다.,物質的には貧しいが、豊かな心とスキルを持ち合わせている。,"У мене мало матеріальних благ, зате вистачає інтелекту й умінь.",Maddi eksikliğimi zihnimin ve becerilerimin zenginliğiyle telafi ediyorum.
ITEM_FLAVOUR_TRINKET:LOOT_SUPER_SCRAPS,"I'll make a pendant out of these crystals, and then I'll store my memories of you inside, so that you never forget that I love you.","De ces cristaux, je façonnerai un pendentif et j’y incorporerai mes souvenirs de toi, pour que tu n’oublies jamais que je t’aime.","Ich werde aus diesen Kristallen einen Anhänger machen und dann meine Erinnerungen von dir darin speichern, damit du niemals vergisst, dass ich dich liebe.","Farò un pendente con questi cristalli e poi inserirò i miei ricordi di te all'interno, così non ti dimenticherai mai che ti voglio bene.","Haré un colgante con estos cristales y luego guardaré mis recuerdos de ti dentro de él, para que nunca olvides que te amo.","Fabricaré un dije con estos cristales y dentro guardaré mis recuerdos de ti, para que así nunca olvides que te amo.","Eu vou fazer um pingente com estes cristais e armazenar dentro dele as minhas lembranças de você, para que você nunca se esqueça de que te amo.","Zrobię wisiorek z tych kryształów, a następnie przechowam w nim moje wspomnienia o tobie, abyś nigdy nie zapomniała, jak Cię kocham.","Я сделаю подвеску из этих кристаллов и помещу в неё воспоминания о тебе. Так ты всегда будешь помнить, как сильно я тебя люблю.",我會用這些水晶製作一個吊飾，然後我會將我對你的記憶儲存在裡面，這樣你就永遠也不會忘記我愛你了。,我要将晶体做成吊坠，然后把我对你的记忆储存在里面，勿忘我爱你。,이 결정으로 목걸이를 만들어 그 안에 당신에 관한 추억을 간직할 거예요. 그러면 저의 사랑을 절대로 잊지 않겠죠.,このクリスタルでペンダントを作り、その中にあなたとの思い出を保存します。そうすれば、あなたは私の愛を決して忘れないでしょう。,"Якщо я зроблю з цих кристалів підвіску та запишу на неї мої спогади про тебе, ти ніколи не забудеш мою любов.",Seni sevdiğimi asla unutmaman için bu kristallerden bir kolye yapacağım ve içine hatıralarımı saklayacağım.
ITEM_FLAVOUR_TRINKET:MAINTENANCE_EXPERT,"If you spend less Nacre in those basins, then you can spend more Nacre here. --Mel","Si tu dépenses moins de nacre aux cellules de maintenance, tu peux en dépenser plus ici. — Mel","Wenn du weniger Perlmutt in den Becken ausgibst, kannst du hier mehr davon ausgeben. – Mel","Se spendi meno madreperla in quelle vasche, puoi spenderne di più qui. --Mel","Si gastas menos nácar en esas cuencas, entonces puedes gastar más nácar aquí. --Mel","Si gastas menos nácar en esas bandejas, podrás gastar más nácar aquí. --Mel","Se você gastar menos Madrepérola nessas bacias, poderá gastar mais Madrepérola aqui. --Mel","Jeśli wydasz mniej Masy Perłowej w tych zbiornikach, możesz wydać jej więcej tutaj. --Mel","Чем меньше перламутра ты потратишь в этих чашах, тем больше ты его сможешь потратить здесь. — Мэл",你在那些池子花費的珍珠母越少，在我這裡就能花得更多了。-- Mel,在其他地方省下来的「母贝」都可以花在我这里。——梅尔,자개 보관소에서 아낀 자개는 우리에게 쓰면 돼. --멜,盆で使うナクレを節約すれば、ここでもっとたくさんのナクレを使うことができるわね。--メル,"Що менше перламутру ти витратиш в цих басейнах, то більше зможеш витратити тут. -- Мел",O çeşmelerde daha az Sedef harcarsan burada daha çok harcayabilirsin. --Mel
